2.23761+0i 5464.4+0i 2.27185+0i 1.84248+0i 1.34781+0i 2.68147+0i 
1.24841+0i 49919.7+0i 1.38223+0i 0.927325+0i 0.541449+0i 1.08547+0i 
1.00351+0i 60833.1+0i 0.694883+0i 0.674532+0i 0.740403+0i 1.44133+0i 
1.3313+0i 56111.1+0i 1.01594+0i 0.814026+0i 0.779236+0i 1.04683+0i 
1.2378+0i 94463.3+0i 1.93235+0i 1.1962+0i 1.16658+0i 1.15849+0i 
2.31587+0i 112979+0i 1.85696+0i 1.57547+0i 1.54529+0i 1.64045+0i 
1.12725+0i 71006.4+0i 1.83332+0i 1.21429+0i 1.61118+0i 0.987163+0i 
1.03469+0i 48388.4+0i 0.814283+0i 0.581896+0i 0.489362+0i 1.16481+0i 
1.98624+0i 18550.8+0i 2.15079+0i 2.10736+0i 1.3989+0i 1.06582+0i 
2.02507+0i 56611.4+0i 2.91945+0i 2.1535+0i 1.55522+0i 0.982935+0i 
1.03126+0i 48901.1+0i 1.39742+0i 1.29239+0i 1.4041+0i 0.754127+0i 
1.43788+0i 6575.14+0i 2.45323+0i 1.09872+0i 0.869032+0i 1.29959+0i 
1.37267+0i 11228.7+0i 1.97343+0i 1.12047+0i 0.897209+0i 0.856785+0i 
0.453729+0i 62134.1+0i 0.877296+0i 0.58091+0i 0.510535+0i 0.760486+0i 
1.75835+0i 75848.8+0i 1.73088+0i 1.33203+0i 1.39843+0i 1.3748+0i 
1.51316+0i 850.31+0i 1.43784+0i 1.22236+0i 1.14999+0i 1.92804+0i 
2.10103+0i 4943.98+0i 2.02844+0i 2.25534+0i 1.80922+0i 1.49809+0i 
1.40213+0i 31688.7+0i 1.70566+0i 1.44444+0i 1.13456+0i 2.23413+0i 
1.04634+0i 4706.34+0i 1.16816+0i 1.0328+0i 0.961385+0i 0.887963+0i 
0.854193+0i 31620.2+0i 1.5112+0i 0.811157+0i 0.636747+0i 0.622647+0i 
1.56639+0i 3574.48+0i 2.01124+0i 1.38988+0i 1.16896+0i 1.16057+0i 
1.90293+0i 24701.5+0i 1.52879+0i 0.860454+0i 0.576118+0i 1.37406+0i 
3.08232+0i 74657.1+0i 2.60837+0i 2.12421+0i 1.97618+0i 2.00531+0i 
1.57503+0i 32638.5+0i 1.67869+0i 1.49985+0i 1.13035+0i 1.44172+0i 
4.24683+0i 87012.1+0i 2.49718+0i 2.59337+0i 2.33245+0i 3.15984+0i 
1.72897+0i 42958+0i 1.89919+0i 1.40788+0i 0.907528+0i 0.638204+0i 
1.04041+0i 39538.5+0i 1.44474+0i 1.08055+0i 0.82579+0i 1.66063+0i 
2.66941+0i 73892.4+0i 1.8911+0i 1.45531+0i 1.50165+0i 2.70484+0i 
1.42911+0i 14005+0i 2.09474+0i 1.42079+0i 0.978078+0i 1.16806+0i 
1.756+0i 75804.7+0i 1.36554+0i 0.893117+0i 1.18631+0i 2.1002+0i 
4.71886+0i 30513+0i 5.17765+0i 3.40978+0i 3.26203+0i 6.09064+0i 
5.10398+0i 144549+0i 5.44392+0i 3.9634+0i 3.80565+0i 4.56366+0i 
7.94366+0i 10034+0i 9.08479+0i 7.27915+0i 5.19914+0i 5.62808+0i 
4.39464+0i 23955+0i 6.82861+0i 3.26397+0i 2.82214+0i 3.31637+0i 
2.53543+0i 127821+0i 2.66304+0i 1.79182+0i 1.48051+0i 2.09263+0i 
2.71259+0i 25602.8+0i 3.73701+0i 3.002+0i 1.79716+0i 1.90951+0i 
1.20001+0i 75303.2+0i 1.27361+0i 1.09314+0i 1.27168+0i 2.22726+0i 
1.52563+0i 37275.1+0i 1.77122+0i 0.809722+0i 0.818864+0i 2.19212+0i 
1.36571+0i 11906.8+0i 1.84393+0i 1.26212+0i 1.13958+0i 1.25282+0i 
1.32884+0i 24331.4+0i 1.58709+0i 1.42452+0i 1.28164+0i 1.32836+0i 
3.75826+0i 38609.1+0i 2.91777+0i 1.50527+0i 1.07965+0i 1.58357+0i 
1.88912+0i 2000.88+0i 1.86905+0i 2.24349+0i 1.82296+0i 1.50311+0i 
2.43343+0i 17560+0i 3.2415+0i 2.56106+0i 1.58861+0i 1.54866+0i 
1.0605+0i 116969+0i 1.83672+0i 1.25741+0i 1.01937+0i 1.76118+0i 
2.08203+0i 6150.78+0i 3.66511+0i 1.81096+0i 1.49256+0i 1.37646+0i 
3.93437+0i 115736+0i 4.30885+0i 3.23798+0i 2.00342+0i 1.76499+0i 
2.26718+0i 10529.1+0i 3.15395+0i 2.33525+0i 1.57851+0i 1.72102+0i 
1.4475+0i 72016.3+0i 2.17284+0i 1.66244+0i 1.13998+0i 1.53511+0i 
2.16481+0i 25944.3+0i 2.79703+0i 2.17808+0i 2.35609+0i 1.78818+0i 
3.37307+0i 65416.1+0i 2.79965+0i 1.96764+0i 1.77108+0i 3.06328+0i 
2.82727+0i 8189.37+0i 3.01301+0i 2.69877+0i 1.79397+0i 2.16069+0i 
2.26345+0i 85616.8+0i 1.58664+0i 1.49788+0i 1.21891+0i 2.3868+0i 
3.18771+0i 7076.26+0i 3.87652+0i 2.92666+0i 1.88765+0i 1.82671+0i 
1.88099+0i 10986.7+0i 2.14797+0i 1.74925+0i 1.40833+0i 1.74043+0i 
3.555+0i 18049.7+0i 6.73352+0i 2.86258+0i 1.69812+0i 1.19289+0i 
2.87058+0i 118798+0i 4.66659+0i 1.85815+0i 1.39898+0i 1.61648+0i 
3.71625+0i 102007+0i 3.85671+0i 3.07462+0i 2.27725+0i 2.89507+0i 
1.40889+0i 4289.55+0i 1.94737+0i 1.24719+0i 1.073+0i 1.26031+0i 
1.55626+0i 4377.19+0i 2.39379+0i 1.22945+0i 0.908504+0i 1.25791+0i 
0.949949+0i 131722+0i 1.35637+0i 1.10796+0i 2.08419+0i 2.03616+0i 
3.40682+0i 116081+0i 3.95609+0i 2.54541+0i 1.53963+0i 1.13646+0i 
3.68022+0i 88113.1+0i 2.11366+0i 1.90503+0i 1.66971+0i 3.56543+0i 
3.13321+0i 147303+0i 4.628+0i 3.48224+0i 2.36796+0i 2.93481+0i 
2.61715+0i 22921.1+0i 3.34829+0i 2.62027+0i 2.54857+0i 3.03851+0i 
4.38094+0i 110015+0i 4.65198+0i 3.55084+0i 2.50152+0i 2.98008+0i 
2.7688+0i 13144.6+0i 3.14586+0i 2.49846+0i 2.00959+0i 2.40246+0i 
3.35987+0i 57540.7+0i 2.99365+0i 1.75022+0i 1.20646+0i 2.52478+0i 
1.82817+0i 121146+0i 2.76668+0i 2.26894+0i 1.77058+0i 1.84039+0i 
2.92565+0i 11151.5+0i 3.69692+0i 2.93282+0i 1.9186+0i 2.29084+0i 
2.79154+0i 10359.7+0i 3.76947+0i 2.75395+0i 1.50966+0i 1.83897+0i 
2.06741+0i 23381.8+0i 3.06477+0i 1.78673+0i 1.776+0i 2.2246+0i 
3.37312+0i 7671.34+0i 3.73996+0i 3.18846+0i 2.47099+0i 2.22681+0i 
6.47148+0i 98330.4+0i 4.63667+0i 3.12191+0i 3.15781+0i 4.29187+0i 
2.70743+0i 8977.67+0i 2.65218+0i 2.81525+0i 2.46286+0i 3.17774+0i 
4.09496+0i 114188+0i 4.17844+0i 3.11349+0i 2.26215+0i 2.02092+0i 
2.36485+0i 16860.7+0i 3.26348+0i 2.28154+0i 1.62183+0i 1.48322+0i 
2.74591+0i 89070.6+0i 1.81261+0i 1.43167+0i 1.61471+0i 2.78017+0i 
1.10279+0i 85851.5+0i 2.26578+0i 2.0721+0i 1.63678+0i 2.97746+0i 
3.85934+0i 19293.6+0i 4.36739+0i 3.66944+0i 2.61892+0i 1.50589+0i 
1.64501+0i 99660.6+0i 2.36573+0i 1.92931+0i 1.48722+0i 2.71837+0i 
3.04241+0i 84100.2+0i 3.60565+0i 2.80564+0i 2.53446+0i 3.82626+0i 
2.7067+0i 58527+0i 5.45944+0i 3.12077+0i 1.56805+0i 1.3154+0i 
3.12818+0i 100165+0i 3.97691+0i 5.14871+0i 2.2779+0i 2.37855+0i 
4.03291+0i 167009+0i 3.71381+0i 3.70285+0i 2.07804+0i 3.13809+0i 
2.55519+0i 92803.1+0i 2.65806+0i 1.58628+0i 1.55789+0i 3.16062+0i 
2.45317+0i 38853.2+0i 3.89616+0i 1.51433+0i 1.13315+0i 1.52621+0i 
2.80211+0i 28971.9+0i 4.24397+0i 3.01455+0i 1.39577+0i 1.36967+0i 
5.46227+0i 132217+0i 4.53755+0i 4.0051+0i 2.89844+0i 2.92623+0i 
2.5457+0i 7883.4+0i 2.4948+0i 2.41968+0i 2.80815+0i 2.85339+0i 
2.07878+0i 47165.2+0i 2.46761+0i 1.14394+0i 0.921982+0i 2.23874+0i 
3.05687+0i 32534.4+0i 7.57366+0i 2.90575+0i 1.9129+0i 1.47795+0i 
3.29912+0i 51239.1+0i 4.46365+0i 3.75383+0i 1.82298+0i 0.778646+0i 
3.65721+0i 4325.97+0i 3.39568+0i 3.98508+0i 2.09989+0i 1.84497+0i 
4.17615+0i 19429.3+0i 13.8914+0i 4.0159+0i 1.83979+0i 1.89922+0i 
2.77801+0i 56324.6+0i 2.71866+0i 1.72939+0i 1.30731+0i 2.58488+0i 
2.46884+0i 103241+0i 2.99144+0i 2.35438+0i 2.01542+0i 2.76723+0i 
2.28738+0i 64623.8+0i 3.17538+0i 3.02595+0i 1.61182+0i 1.52481+0i 
1.81921+0i 95293.2+0i 2.45168+0i 1.80894+0i 1.10237+0i 1.34883+0i 
2.89036+0i 6544.91+0i 3.92807+0i 2.51488+0i 1.64062+0i 1.90164+0i 
1.39772+0i 103053+0i 2.18131+0i 2.10198+0i 1.60067+0i 1.95208+0i 
1.45688+0i 107002+0i 2.81772+0i 1.87784+0i 2.17161+0i 2.30016+0i 
2.72035+0i 125671+0i 2.50155+0i 2.23698+0i 1.80313+0i 3.27887+0i 
3.25248+0i 108563+0i 2.40079+0i 1.51219+0i 1.51336+0i 3.04779+0i 
1.73177+0i 95352.8+0i 2.58115+0i 1.88403+0i 1.66052+0i 1.29461+0i 
2.8088+0i 1595.16+0i 3.26047+0i 2.60583+0i 2.12249+0i 2.16935+0i 
2.41966+0i 49785.9+0i 2.60941+0i 2.81513+0i 2.64488+0i 3.31377+0i 
3.58712+0i 10709.7+0i 4.81439+0i 3.25659+0i 1.98632+0i 1.24508+0i 
2.87457+0i 165078+0i 3.91353+0i 2.15759+0i 1.60371+0i 1.37903+0i 
1.84258+0i 46095.2+0i 2.34143+0i 2.13552+0i 1.53031+0i 2.18535+0i 
2.67643+0i 84621+0i 3.11594+0i 2.21877+0i 1.74099+0i 2.15064+0i 
